latitude,longitude,mag
41.8951,-119.6297,3.47
36.4333333,-120.971,4.43
33.3383333,-116.3316667,3.68
41.9032,-119.6358,3.02
40.3195,-124.6121667,4.28
41.8921,-119.6342,3
41.9058,-119.6261,3.08
41.8694,-119.6372,3.61
41.8791,-119.6235,3.78
41.8913,-119.655,3.27
41.852,-119.6876667,3.24
41.9015,-119.6246,3.03
41.8849,-119.634,3.05
41.864,-119.6297,3.01
41.8802,-119.6368,3.25
41.8744,-119.6403,3.07
38.8523,-116.173,3.09
41.8959,-119.6459,3.41
38.4395,-119.2588333,3.19
41.8676,-119.6378,3
41.8744,-119.6204,3.22
41.8852,-119.641,3.72
41.8606,-119.6231,3.69
41.8825,-119.6389,3.91
41.883,-119.6218,4.1
41.9063,-119.66,3.28
41.8741,-119.6286,3.2
41.9069,-119.6541,3.06
41.8592,-119.6233,3.38
34.6173333,-118.6301667,4.25
34.6101667,-118.6355,3.03
39.8105,-123.4813333,3.27
38.3646667,-122.6068333,3
41.8175,-119.6189,3
34.6101667,-118.6353333,3.11
33.5856667,-118.272,3.88
35.9366667,-117.2221667,3.47
40.2961667,-124.517,3.63
41.8605,-119.6316,3.58
33.1783333,-115.6041667,3.56
33.1851667,-115.6085,4.19
34.0175,-117.228,3.06
41.833,-119.6264,3.54
41.881,-119.6209,3.12
41.8842,-119.6269,3.28
41.8899,-119.6336,3.1
38.4343333,-119.2673333,3.2
41.8844,-119.6128,3.21
33.4331667,-118.097,3.08
36.4281667,-120.4061667,3.41
41.8885,-119.6286,3.24
41.8848,-119.6205,3.35
41.8805,-119.6287,3.52
41.897,-119.6304,3.45
41.8644,-119.6315,3.23
41.8851,-119.6256,3.13
41.8647,-119.6441,3.24
41.8692,-119.6287,3.14
41.8773,-119.6316,4.08
41.8131,-119.6175,3.29
36.0031667,-117.9105,3.09
37.379,-118.5208333,3.32
34.8203333,-116.4153333,3.46
36.7941667,-121.5168333,3.92
37.1075,-121.8128333,3.19
33.9631667,-116.6346667,3.56
41.8437,-119.6168,3.1
37.9735,-118.6686667,3.13
41.8812,-119.6445,4.16
41.8745,-119.6287,3
41.9065,-119.6322,3.35
41.8988,-119.6266,3.45
41.8735,-119.6275,3.1
41.8538,-119.5936,3.8
